decisions,propagations,conflicts,user-propagations,final-checks,problem,length,steps,mutexes,propagator
201,6238,46,13,1,grounder_dcrm_qurm_printjob,22,11,51,forall-lazy
2805,50639,329,131,1,grounder_dcrm_qurm_network1new_all_8_3_instance,12,6,264,forall-code
461,16215,86,40,1,grounder_dcrm_qurm_pathways-03,19,8,40,exists-code
699030,58156563,303624,4485,1,grounder_dcrm_qurm_grounded-strips-os-sequencedstrips-small-5,25,15,10532,exists-lazy
51892,815630,1401,1198,1,grounder_dcrm_qurm_original,12,5,2444,exists-stepshare
30290,982773,4335,1799,1,grounder_dcrm_qurm_strips-log-x-1,65,9,3154,forall-decide
326,23785,91,298,1,grounder_dcrm_qurm_pathways-03,18,8,1221,exists-prop
4170,379247,867,2605,1,grounder_dcrm_qurm_strips-sat-x-1,14,7,21315,forall-prop
12,673,10,35,1,grounder_dcrm_qurm_name,4,4,88,exists-prop
281,2748,29,17,1,grounder_dcrm_qurm_dlog-2-2-4,14,5,23,exists-code
89,1003,19,0,1,grounder_dcrm_qurm_network1new_all_6_2_instance,5,3,2366,exists
2,23,1,0,1,grounder_dcrm_qurm_instance_2_3,1,1,0,exists-decide
3,45,2,0,1,grounder_dcrm_qurm_instance_2_2,2,1,0,exists-stepshare
272,5348,59,24,1,grounder_dcrm_qurm_ztravel-1-2,10,6,86,exists-lazy
3,25,2,2,1,grounder_dcrm_qurm_tsp-2,2,2,2,exists-decide
64,1090,25,14,1,grounder_dcrm_qurm_name,4,4,38,forall-code
46,3071,19,5,1,grounder_dcrm_qurm_problem_x,9,9,21,exists-stepshare
201,6238,46,13,1,grounder_dcrm_qurm_printjob,22,11,25,forall-code
2,777,9,0,1,grounder_dcrm_qurm_problem_x,8,8,703,forall
6623,581790,1671,143,1,grounder_dcrm_qurm_grounded-truck-2,18,8,354,exists-lazy
7113,339173,1374,2089,1,grounder_dcrm_qurm_truck-1,15,7,13679,exists-prop
77,13052,49,1,2,grounder_dcrm_qurm_problem_x,17,9,2,forall-final
72,3594,22,0,1,grounder_dcrm_qurm_grounded-strips-psr-s5-n1-l3-f30,16,7,88,exists-prop
66,6236,54,3,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,12,8,5,forall-lazy
